_id,title,genres,poster
130,Angela (1995),Drama,http://image.tmdb.org/t/p/w342/dw5RWgSSDV5h3ZKS0oSzPe6A26p.jpg
131,Frankie Starlight (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/1cPX7MWnEYG21tSdEpWlFygZUwY.jpg
132,Jade (1995),Thriller,http://image.tmdb.org/t/p/w342/koKHFZ0FYd7yG1g3RphU6TQRVOg.jpg
133,Nueba Yol (1995),Comedy|Drama,http://image.tmdb.org/t/p/w342/1VNalbjNQkKejRnHW2XM6SwnCa0.jpg
134,Sonic Outlaws (1995),Documentary,http://image.tmdb.org/t/p/w342/wU4NBvZdP1wTAq142OR5knnhfG5.jpg
135,Down Periscope (1996),Comedy,http://image.tmdb.org/t/p/w342/q6JEjedx4LoZRig8U1R5sJqBfti.jpg
136,From the Journals of Jean Seberg (1995),Documentary,http://image.tmdb.org/t/p/w342/wfPHta8Wxm4LQVHU8tRhL8GCyIz.jpg
137,Man of the Year (1995),Documentary,http://image.tmdb.org/t/p/w342/a1LBGvjiYqw6zLI34IQa2j5DPIV.jpg
138,"Neon Bible, The (1995)",Drama,http://image.tmdb.org/t/p/w342/wpaZXRvhdNhmaedy8BMytuOXvGO.jpg
139,Target (1995),Action|Drama,http://image.tmdb.org/t/p/w342/f3X47mxnA03CqCY4ehChRCzBf5Q.jpg
140,Up Close and Personal (1996),Drama|Romance,http://image.tmdb.org/t/p/w342/2yf1pCiQk6JMy4k5zxf39YXQxGB.jpg
141,"Birdcage, The (1996)",Comedy,http://image.tmdb.org/t/p/w342/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg
142,Shadows (Cienie) (1988),Drama,http://image.tmdb.org/t/p/w342/mmeEuSmCCdtcdol5oYKKMbrNsc4.jpg
143,Gospa (1995),Drama,http://image.tmdb.org/t/p/w342/b8niK1RquKFR7TZBJbWN8zZPCcT.jpg
144,"Brothers McMullen, The (1995)",Comedy,http://image.tmdb.org/t/p/w342/8YlwQ2BBH6PY3Tl0bOf0fLep31h.jpg
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,http://image.tmdb.org/t/p/w342/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,http://image.tmdb.org/t/p/w342/1yB7ryvYqKrNTnWcx3C31RdUgL1.jpg
147,"Basketball Diaries, The (1995)",Drama,http://image.tmdb.org/t/p/w342/8BkedYL5LdpkyHc7JtuohMr8a9N.jpg
148,"Awfully Big Adventure, An (1995)",Drama,http://image.tmdb.org/t/p/w342/e8YzXziAXKIqnWJbLI6OzbdkGYD.jpg
149,Amateur (1994),Crime|Drama|Thriller,http://image.tmdb.org/t/p/w342/nWUvlNxKSMdegAoY5eMOqPwMKIb.jpg
150,Apollo 13 (1995),Adventure|Drama|IMAX,http://image.tmdb.org/t/p/w342/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg
151,Rob Roy (1995),Action|Drama|Romance|War,http://image.tmdb.org/t/p/w342/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg
152,"Addiction, The (1995)",Drama|Horror,http://image.tmdb.org/t/p/w342/ej0gD547grj5QMoKuzqKyHuc3Xi.jpg
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,http://image.tmdb.org/t/p/w342/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg
154,Beauty of the Day (Belle de jour) (1967),Drama,
155,Beyond Rangoon (1995),Adventure|Drama|War,http://image.tmdb.org/t/p/w342/5CQgpLITPo33AEN1jULsyiHxSDJ.jpg
156,Blue in the Face (1995),Comedy|Drama,http://image.tmdb.org/t/p/w342/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg
157,Canadian Bacon (1995),Comedy|War,http://image.tmdb.org/t/p/w342/bzK2aQ8xUB67kwCR5LHTSY99HtT.jpg
158,Casper (1995),Adventure|Children,http://image.tmdb.org/t/p/w342/1WeumvndgPE3hopKQqXbCKO26oH.jpg
159,Clockers (1995),Crime|Drama|Mystery,http://image.tmdb.org/t/p/w342/c79uqLJleho2a7OQayfrW5Ypphf.jpg
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,http://image.tmdb.org/t/p/w342/wjeQaiAApgzdipkNXhQnBrqjBY9.jpg
161,Crimson Tide (1995),Drama|Thriller|War,http://image.tmdb.org/t/p/w342/oDJyDX11HW4j565vUjmFagKxDTQ.jpg
162,Crumb (1994),Documentary,http://image.tmdb.org/t/p/w342/yzK39sdkGoiSyKZEWT6HQzaC0BX.jpg
163,Desperado (1995),Action|Romance|Western,http://image.tmdb.org/t/p/w342/7eVo5DbP7gcsDzHcpRCTA6JAuF2.jpg
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,http://image.tmdb.org/t/p/w342/z0Boi5LktVxDMFnpyAqQEnYfPtM.jpg
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,http://image.tmdb.org/t/p/w342/ivpXGcsPZglyYrN65THWSD7JM3q.jpg
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,http://image.tmdb.org/t/p/w342/6ZwsSedjyzR0poDrKlJaYWoseaH.jpg
167,Feast of July (1995),Drama,http://image.tmdb.org/t/p/w342/ntXzazC3ZaWy9GjkFzZGtJFLCZp.jpg
168,First Knight (1995),Action|Drama|Romance,http://image.tmdb.org/t/p/w342/8SRi8laZyPBdigx9qn7m3mriiRQ.jpg
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,http://image.tmdb.org/t/p/w342/yLyyjm4m3fSvbazyFv4RtUnb2uQ.jpg
170,Hackers (1995),Action|Adventure|Crime|Thriller,http://image.tmdb.org/t/p/w342/hNjxJbejPHSmKVidHQ9ZHaC0Z7r.jpg
171,Jeffrey (1995),Comedy|Drama,http://image.tmdb.org/t/p/w342/imrDwqsDpufHtoewyCgJUvAD4L0.jpg
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,http://image.tmdb.org/t/p/w342/s9LyQtKhfUcQlZEw8hJLP6XqroO.jpg
173,Judge Dredd (1995),Action|Crime|Sci-Fi,http://image.tmdb.org/t/p/w342/r17S4XlQ3Jq5U1KRovFUwU8P4aG.jpg
174,Jury Duty (1995),Comedy,http://image.tmdb.org/t/p/w342/fOKuWVHR2M4xPjRwYl0bLHsdRHu.jpg
175,Kids (1995),Drama,http://image.tmdb.org/t/p/w342/gMuV7ORN8rRfQPMImby8KRGihO2.jpg
176,Living in Oblivion (1995),Comedy,http://image.tmdb.org/t/p/w342/7dZwXfk6bniArhZTkxExvGa3Nfc.jpg
177,Lord of Illusions (1995),Horror,http://image.tmdb.org/t/p/w342/9pwdoUes8V8ntTetsKtv2ThGeIm.jpg
178,Love & Human Remains (1993),Comedy|Drama,http://image.tmdb.org/t/p/w342/wuCyRk9eult77MXmRnE9gkSjUnt.jpg
179,Mad Love (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/2etCAb2hcWwn4LsBnJb2ZpqDpRL.jpg
180,Mallrats (1995),Comedy|Romance,http://image.tmdb.org/t/p/w342/4saVIltqkhq9is5NmD7N87Q40M.jpg
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,http://image.tmdb.org/t/p/w342/A3ijhraMN0tvpDnPoyVP7NulkSr.jpg
182,Moonlight and Valentino (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/wLwkTj5DRVNUnKSsNHdoka4QPLF.jpg
183,Mute Witness (1994),Comedy|Horror|Thriller,http://image.tmdb.org/t/p/w342/1AJujK1IjuyxvIG8pjmef9qJsnQ.jpg
184,Nadja (1994),Drama,http://image.tmdb.org/t/p/w342/bRz2J0jlMgczJptX0Atzo9l70Bd.jpg
185,"Net, The (1995)",Action|Crime|Thriller,http://image.tmdb.org/t/p/w342/gKDNaAFzT21cSVeKQop7d1uhoSp.jpg
186,Nine Months (1995),Comedy|Romance,http://image.tmdb.org/t/p/w342/l6HWwhtqmowlNqWYln011WTTm35.jpg
187,Party Girl (1995),Comedy,http://image.tmdb.org/t/p/w342/hdyuPKxp7djUZJSllRmC47ynQDB.jpg
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,http://image.tmdb.org/t/p/w342/4ZWFhQipzBHJze2llzCzhrSIZsn.jpg
189,Reckless (1995),Comedy|Fantasy,http://image.tmdb.org/t/p/w342/mIEtFo5z8G6b0r2mxHjfIWT7vy7.jpg
190,Safe (1995),Thriller,http://image.tmdb.org/t/p/w342/eoiqqDHohBCDwFWQOvczUeNoixK.jpg
191,"Scarlet Letter, The (1995)",Drama|Romance,http://image.tmdb.org/t/p/w342/g46rChf49Qgq28RJ22iWwvsK7nO.jpg
192,"Show, The (1995)",Documentary,http://image.tmdb.org/t/p/w342/EelZzudHRvJmjWccWscN1S5vmI.jpg
193,Showgirls (1995),Drama,http://image.tmdb.org/t/p/w342/7O2SxrsXYaGFZ5cZgJF0Ab5SV5J.jpg
194,Smoke (1995),Comedy|Drama,http://image.tmdb.org/t/p/w342/dku3aLprH3j1ilSsubW9Pbgfe0y.jpg
